"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"13609",7,"EE","Not at all interested","4","4","6","Yes","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13610",7,"EE","Hardly interested","7","6","6","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13611",7,"EE","Quite interested","9","9","7","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13612",7,"EE","Hardly interested","No trust at all","No trust at all","3","No","Yes","No","No","No","No","No","No","No","2","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13613",7,"EE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","Yes","Extremely dissatisfied","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13614",7,"EE","Hardly interested","5","3","4","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13615",7,"EE","Hardly interested","6","1","4","No","Yes","No","Yes","Yes","No","No","No","No","3","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13616",7,"EE","Quite interested","5","5","4","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13617",7,"EE","Hardly interested","3","2","7","Yes","Yes","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13618",7,"EE","Quite interested","8","5","6","Yes","Yes","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13619",7,"EE","Quite interested","2","6","5","Yes","Yes","No","No","No","No","No","No","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13620",7,"EE","Hardly interested","5","1","2","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13621",7,"EE","Hardly interested","6","5","6","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Marked","Permanently sick or disabled","No","Not applicable","No"
"13622",7,"EE","Hardly interested","7","5","6","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"13623",7,"EE","Hardly interested","5","5","4","No","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"13624",7,"EE","Not at all interested","5","3","5","Not eligible to vote","No","No","No","No","No","No","No","Don't know","4","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Marked","Not applicable","Yes","Unlimited","No"
"13625",7,"EE","Quite interested","6","4","6","Yes","No","No","No","No","No","No","No","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13626",7,"EE","Not at all interested","3","No trust at all","Don't know","No","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13627",7,"EE","Very interested","8","6","6","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13628",7,"EE","Hardly interested","1","2","5","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13629",7,"EE","Hardly interested","1","No trust at all","4","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13630",7,"EE","Hardly interested","3","1","5","No","No","No","No","No","Yes","No","No","Yes","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13631",7,"EE","Hardly interested","2","2","5","No","No","Yes","No","Yes","No","No","Yes","Yes","Don't know","Female","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"13632",7,"EE","Quite interested","5","4","7","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"13633",7,"EE","Quite interested","6","4","7","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13634",7,"EE","Quite interested","5","3","6","Yes","No","No","No","No","Yes","No","No","Yes","3","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13635",7,"EE","Quite interested","2","No trust at all","4","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","2","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13636",7,"EE","Hardly interested","5","3","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13637",7,"EE","Hardly interested","4","4","4","Yes","No","No","No","No","No","No","No","No","2","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13638",7,"EE","Hardly interested","7","5","5","Not eligible to vote","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13639",7,"EE","Hardly interested","6","5","9","No","No","No","No","Yes","No","No","No","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"13640",7,"EE","Hardly interested","6","5","6","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Marked","Not marked","Unemployed, looking for job","Yes","No contract","No"
"13641",7,"EE","Hardly interested","4","1","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13642",7,"EE","Quite interested","3","5","5","No","No","No","No","No","No","No","No","Don't know","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, previously"
"13643",7,"EE","Quite interested","4","3","6","Yes","No","No","No","No","No","Yes","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13644",7,"EE","Hardly interested","8","7","8","Yes","No","No","No","Yes","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13645",7,"EE","Quite interested","6","5","5","Yes","Yes","No","Yes","No","Yes","No","No","Don't know","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"13646",7,"EE","Hardly interested","Complete trust","Complete trust","Complete trust","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13647",7,"EE","Hardly interested","6","5","6","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13648",7,"EE","Hardly interested","5","2","5","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13649",7,"EE","Hardly interested","2","2","5","No","No","No","No","No","No","No","No","Yes","3","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13650",7,"EE","Hardly interested","3","1","1","Yes","No","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13651",7,"EE","Hardly interested","5","2","7","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13652",7,"EE","Quite interested","2","2","3","Yes","No","No","No","No","No","No","No","Yes","3","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13653",7,"EE","Very interested","6","4","5","Yes","No","No","No","No","No","No","Yes","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13654",7,"EE","Hardly interested","7","4","6","No","No","Yes","No","No","No","No","Yes","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13655",7,"EE","Not at all interested","6","4","5","Yes","No","No","No","No","No","No","Yes","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Housework, looking after children, others","Yes","Unlimited","No"
"13656",7,"EE","Very interested","9","7","9","Yes","No","No","No","No","No","No","Yes","No","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","Yes, currently"
"13657",7,"EE","Hardly interested","2","2","7","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13658",7,"EE","Hardly interested","5","4","4","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13659",7,"EE","Not at all interested","4","4","6","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13660",7,"EE","Hardly interested","5","1","1","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13661",7,"EE","Not at all interested","4","3","8","Yes","No","No","No","No","No","No","No","Yes","8","Female","Don't know","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13662",7,"EE","Not at all interested","2","1","1","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13663",7,"EE","Quite interested","5","6","6","No","Yes","No","No","No","No","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13664",7,"EE","Hardly interested","6","5","4","Yes","Yes","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13665",7,"EE","Very interested","8","7","8","Yes","No","No","No","No","No","Yes","No","Yes","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13666",7,"EE","Hardly interested","5","6","4","No","Yes","No","No","No","No","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13667",7,"EE","Hardly interested","4","4","4","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13668",7,"EE","Quite interested","8","8","8","No","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13669",7,"EE","Quite interested","5","8","7","Yes","Yes","Yes","No","No","No","No","No","No","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13670",7,"EE","Quite interested","7","7","7","Yes","Yes","No","Don't know","Yes","No","No","Yes","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"13671",7,"EE","Hardly interested","7","3","7","Yes","No","No","No","No","Yes","No","No","Yes","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Housework, looking after children, others","Yes","Unlimited","No"
"13672",7,"EE","Hardly interested","4","4","7","Yes","No","Yes","No","Yes","Yes","No","No","Yes","7","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13673",7,"EE","Hardly interested","7","5","5","Yes","No","No","No","No","No","No","Yes","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","Yes, previously"
"13674",7,"EE","Hardly interested","8","3","8","Yes","No","No","No","No","Yes","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13675",7,"EE","Quite interested","7","7","8","Yes","No","No","No","No","Yes","No","Yes","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13676",7,"EE","Not at all interested","7","9","4","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13677",7,"EE","Not at all interested","5","No trust at all","7","Yes","Yes","No","No","Yes","No","No","No","No","Don't know","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13678",7,"EE","Quite interested","5","3","5","Yes","Yes","No","Yes","No","Yes","No","No","Yes","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13679",7,"EE","Not at all interested","1","1","1","No","No","No","No","No","No","No","No","No","3","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"13680",7,"EE","Hardly interested","6","4","8","No","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13681",7,"EE","Quite interested","6","3","5","Yes","No","Yes","Yes","Yes","No","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13682",7,"EE","Hardly interested","6","4","6","No","No","No","No","No","Yes","No","Yes","No","3","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"13683",7,"EE","Quite interested","8","6","8","Yes","Don't know","No","No","No","No","No","Yes","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Not applicable","No"
"13684",7,"EE","Quite interested","5","9","Complete trust","No","No","No","No","No","No","No","No","No","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13685",7,"EE","Quite interested","5","5","6","Don't know","No","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13686",7,"EE","Hardly interested","3","2","6","Yes","Yes","No","Yes","No","No","No","No","No","3","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13687",7,"EE","Hardly interested","7","5","7","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13688",7,"EE","Hardly interested","No trust at all","2","5","No","No","No","Yes","No","Yes","No","No","No","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13689",7,"EE","Quite interested","4","4","5","Yes","Yes","No","No","No","No","No","Yes","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13690",7,"EE","Hardly interested","4","5","5","Yes","No","No","No","No","Yes","No","No","Yes","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13691",7,"EE","Quite interested","7","6","6","Yes","No","No","Yes","No","Yes","No","Yes","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13692",7,"EE","Very interested","7","5","Complete trust","Yes","No","No","Yes","No","Yes","No","No","Yes","8","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Marked","Paid work","Not applicable","Unlimited","No"
"13693",7,"EE","Not at all interested","6","3","5","Yes","No","No","No","No","No","No","Yes","Yes","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13694",7,"EE","Hardly interested","8","3","8","Yes","No","No","No","No","Yes","No","No","No","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","No"
"13695",7,"EE","Hardly interested","6","5","7","Yes","No","No","No","No","Yes","No","No","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13696",7,"EE","Hardly interested","2","2","2","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13697",7,"EE","Hardly interested","2","No trust at all","7","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13698",7,"EE","Quite interested","No trust at all","No trust at all","No trust at all","Not eligible to vote","No","No","No","No","No","No","No","No","2","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Not applicable","No"
"13699",7,"EE","Hardly interested","6","5","7","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13700",7,"EE","Quite interested","4","3","3","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13701",7,"EE","Hardly interested","3","4","5","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13702",7,"EE","Not at all interested","3","No trust at all","3","Yes","Yes","No","No","No","No","No","No","No","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13703",7,"EE","Quite interested","No trust at all","3","1","Not eligible to vote","No","No","No","No","No","No","Yes","Yes","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"13704",7,"EE","Hardly interested","No trust at all","No trust at all","No trust at all","No","No","No","No","No","No","No","No","Yes","Extremely dissatisfied","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"13705",7,"EE","Hardly interested","3","3","6","Yes","No","No","No","No","No","No","No","Don't know","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","No"
"13706",7,"EE","Quite interested","7","5","8","Yes","Yes","No","No","No","Yes","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13707",7,"EE","Hardly interested","5","2","5","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","Not applicable","No"
"13708",7,"EE","Not at all interested","4","4","5","Yes","No","No","No","No","No","No","No","Yes","4","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13709",7,"EE","Not at all interested","8","5","7","No","No","No","No","No","No","No","No","No","7","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13710",7,"EE","Hardly interested","4","2","5","Yes","No","No","No","No","Yes","No","No","Yes","3","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13711",7,"EE","Quite interested","7","9","9","Yes","Yes","Yes","No","No","No","No","No","Yes","9","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13712",7,"EE","Hardly interested","5","4","5","Yes","No","No","No","No","No","No","No","Yes","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13713",7,"EE","Quite interested","7","4","6","Yes","Yes","No","No","No","No","No","No","No","6","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13714",7,"EE","Hardly interested","7","7","7","Yes","No","No","Yes","No","No","No","No","Yes","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13715",7,"EE","Quite interested","6","2","7","Yes","Yes","No","No","No","No","No","No","Don't know","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13716",7,"EE","Not at all interested","Don't know","1","Don't know","Yes","No","No","No","No","No","No","No","No","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13717",7,"EE","Quite interested","6","4","4","Not eligible to vote","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13718",7,"EE","Don't know","3","2","4","Yes","No","No","No","No","No","Yes","Yes","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13719",7,"EE","Hardly interested","1","No trust at all","3","No","Yes","No","No","No","No","No","No","Yes","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13720",7,"EE","Quite interested","6","4","Don't know","Yes","No","No","No","No","Yes","No","Yes","Don't know","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13721",7,"EE","Hardly interested","8","8","8","Not eligible to vote","No","No","No","No","No","No","No","No","8","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13722",7,"EE","Hardly interested","7","4","7","No","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13723",7,"EE","Not at all interested","5","3","Don't know","Don't know","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13724",7,"EE","Hardly interested","6","5","6","Yes","No","No","No","No","No","No","No","Yes","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13725",7,"EE","Hardly interested","2","2","3","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"13726",7,"EE","Hardly interested","3","2","2","No","Yes","No","No","No","No","No","No","Yes","3","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Housework, looking after children, others","Not applicable","Unlimited","No"
"13727",7,"EE","Quite interested","2","2","1","No","No","No","No","No","Yes","No","Yes","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"13728",7,"EE","Quite interested","4","3","7","Yes","Yes","No","No","No","No","No","Yes","No","8","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"13729",7,"EE","Hardly interested","1","1","2","Yes","Yes","No","No","No","Yes","No","No","Yes","Extremely dissatisfied","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13730",7,"EE","Not at all interested","3","4","4","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13731",7,"EE","Quite interested","3","3","3","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"13732",7,"EE","Quite interested","2","2","No trust at all","No","Yes","No","No","No","No","No","No","No","Extremely dissatisfied","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"13733",7,"EE","Hardly interested","2","1","4","No","Yes","No","No","No","Yes","No","Yes","No","2","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"13734",7,"EE","Quite interested","5","5","7","Yes","Yes","No","No","No","No","No","No","Yes","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"13735",7,"EE","Not at all interested","3","2","4","Yes","No","No","No","No","No","No","No","No","Extremely dissatisfied","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
